"","Gene Symbol","CE Detail","Ensembl ID","ID #","Canonical Splice Junction","Cryptic Exon Location
  (hg38)","Cryptic Exon (bp)","Splice Site (L/R)","type","Noncoding","LEAKY/Weak","Annotated Alternate Exon","Inf. Ins.","UTR","Complex Splicing","Unannotated WT exon","Conserved Region","LeftJunction","RightJunction","LPSI_C","LPSI_CUS","LPSI_CX","LPSI_CXS","LPSI_CXU","LPSI_SgC","LPSI_T","LPSI_TUS","LPSI_TX","LPSI_TXS","LPSI_TXU","RPSI_C","RPSI_CUS","RPSI_CX","RPSI_CXS","RPSI_CXU","RPSI_SgC","RPSI_T","RPSI_TUS","RPSI_TX","RPSI_TXS","RPSI_TXU","avgCtrl","avgT","avgCUS","avgCX","avgCXS","avgCXU","avgTUS","avgTX","avgTXS","avgTXU","maxCtrl","maxTDP","maxDiff","NMDonly","category"
"11","ACTL6B",NA,"ENSG00000077080","CE004","chr7:100650136-100655018","chr7:100650575-100650643","69","AC/CT","cassette",NA,NA,NA,"Y",NA,NA,NA,NA,"chr7:100650136-100650574","chr7:100650644-100655018",0,0,0,0,0.2,0,52.8,81.9,64.5,55,85.3,0.2,0,0.1,0,0.2,0,57.5,83.1,62.9,56.3,86.7,0,55.1,0,0.1,0,0.2,82.5,68.4,55.6,86,"0.2",86,85.8,"5pct","TDPKDonly"
"12","ACTL6B",NA,"ENSG00000077080","CE004","chr7:100650136-100655018","chr7:100650575-100650643","69","AC/CT","cassette",NA,NA,NA,"Y",NA,NA,NA,NA,"chr7:100650136-100650574","chr7:100650644-100655018",0,0,0,0,0.2,0,52.8,81.9,64.5,55,85.3,0.2,0,0.1,0,0.2,0,57.5,83.1,62.9,56.3,86.7,0,55.1,0,0.1,0,0.2,82.5,68.4,55.6,86,"0.2",86,85.8,"1pct","TDPKDonly"
"13","ADARB1",NA,"ENSG00000197381","CE005","chr21:45180445-45182584","chr21:45181480-45181516","37","AG/GT","cassette",NA,NA,NA,NA,NA,NA,NA,NA,"chr21:45180445-45181479","chr21:45181517-45182584",0,1.2,0,0.9,1.1,0,6.2,38.2,2.8,17.5,50,0,1.2,0,0,0,0,0,24.4,2.8,10.3,36.4,0,3.1,1.2,0.3,0.4,0.6,31.3,20,13.9,43.2,"1.2",43.2,42,"10pct","NMDi"
"14","ADARB1",NA,"ENSG00000197381","CE005","chr21:45180445-45182584","chr21:45181480-45181516","37","AG/GT","cassette",NA,NA,NA,NA,NA,NA,NA,NA,"chr21:45180445-45181479","chr21:45181517-45182584",0,1.2,0,0.9,1.1,0,6.2,38.2,2.8,17.5,50,0,1.2,0,0,0,0,0,24.4,2.8,10.3,36.4,0,3.1,1.2,0.3,0.4,0.6,31.3,20,13.9,43.2,"1.2",43.2,42,"5pct","NMDi"
"15","ADARB1",NA,"ENSG00000197381","CE005","chr21:45180445-45182584","chr21:45181480-45181516","37","AG/GT","cassette",NA,NA,NA,NA,NA,NA,NA,NA,"chr21:45180445-45181479","chr21:45181517-45182584",0,1.2,0,0.9,1.1,0,6.2,38.2,2.8,17.5,50,0,1.2,0,0,0,0,0,24.4,2.8,10.3,36.4,0,3.1,1.2,0.3,0.4,0.6,31.3,20,13.9,43.2,"1.2",43.2,42,"1pct","TDPKDonly"
"16","ADARB2","1_long","ENSG00000185736","CE006","chr10:1363918-1379073","chr10:1376104-1376218","115","AC/CT","cassette",NA,NA,NA,NA,NA,NA,NA,NA,"chr10:1363918-1376103","chr10:1376219-1379073",0,0,0,0,0,0,8.7,47.8,23.5,37.5,68.8,0,0,0,0,0,0,40,76.5,56.7,58.3,86.8,0,24.4,0,0,0,0,62.1,55.3,47.9,77.8,"0",77.8,77.8,"10pct","TDPKDonly"
"17","ADARB2","1_long","ENSG00000185736","CE006","chr10:1363918-1379073","chr10:1376104-1376218","115","AC/CT","cassette",NA,NA,NA,NA,NA,NA,NA,NA,"chr10:1363918-1376103","chr10:1376219-1379073",0,0,0,0,0,0,8.7,47.8,23.5,37.5,68.8,0,0,0,0,0,0,40,76.5,56.7,58.3,86.8,0,24.4,0,0,0,0,62.1,55.3,47.9,77.8,"0",77.8,77.8,"5pct","TDPKDonly"
"18","ADARB2","1_long","ENSG00000185736","CE006","chr10:1363918-1379073","chr10:1376104-1376218","115","AC/CT","cassette",NA,NA,NA,NA,NA,NA,NA,NA,"chr10:1363918-1376103","chr10:1376219-1379073",0,0,0,0,0,0,8.7,47.8,23.5,37.5,68.8,0,0,0,0,0,0,40,76.5,56.7,58.3,86.8,0,24.4,0,0,0,0,62.1,55.3,47.9,77.8,"0",77.8,77.8,"1pct","TDPKDonly"
"19","ADARB2","1_short","ENSG00000185736","CE007","chr10:1363918-1379073","chr10:1376116-1376218","103","AC/CT","cassette",NA,NA,NA,NA,NA,NA,NA,NA,"chr10:1363918-1376115","chr10:1376219-1379073",0,0,0,0,0,0,34.4,69.2,59.4,63,72.7,0,0,0,0,0,0,40,76.5,56.7,58.3,86.8,0,37.2,0,0,0,0,72.8,66.2,60.6,79.8,"0",79.8,79.8,"10pct","TDPKDonly"
"20","ADARB2","1_short","ENSG00000185736","CE007","chr10:1363918-1379073","chr10:1376116-1376218","103","AC/CT","cassette",NA,NA,NA,NA,NA,NA,NA,NA,"chr10:1363918-1376115","chr10:1376219-1379073",0,0,0,0,0,0,34.4,69.2,59.4,63,72.7,0,0,0,0,0,0,40,76.5,56.7,58.3,86.8,0,37.2,0,0,0,0,72.8,66.2,60.6,79.8,"0",79.8,79.8,"5pct","TDPKDonly"
"21","ADARB2","1_short","ENSG00000185736","CE007","chr10:1363918-1379073","chr10:1376116-1376218","103","AC/CT","cassette",NA,NA,NA,NA,NA,NA,NA,NA,"chr10:1363918-1376115","chr10:1376219-1379073",0,0,0,0,0,0,34.4,69.2,59.4,63,72.7,0,0,0,0,0,0,40,76.5,56.7,58.3,86.8,0,37.2,0,0,0,0,72.8,66.2,60.6,79.8,"0",79.8,79.8,"1pct","TDPKDonly"
"22","ADARB2","2","ENSG00000185736","CE008","chr10:1379161-1737050","chr10:1505255-1505358","104","AC/CT","cassette",NA,NA,NA,NA,NA,NA,NA,NA,"chr10:1379161-1505254","chr10:1505359-1737050",0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,0,6.4,0,34.1,27.8,0,39.3,24.1,0,17,0,1.7,0,3.2,13.9,10.6,19.6,12.1,"3.2",19.6,16.4,"10pct","TDPKDonly"
"23","ADARB2","2","ENSG00000185736","CE008","chr10:1379161-1737050","chr10:1505255-1505358","104","AC/CT","cassette",NA,NA,NA,NA,NA,NA,NA,NA,"chr10:1379161-1505254","chr10:1505359-1737050",0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,0,6.4,0,34.1,27.8,0,39.3,24.1,0,17,0,1.7,0,3.2,13.9,10.6,19.6,12.1,"3.2",19.6,16.4,"5pct","TDPKDonly"
"24","ADARB2","2","ENSG00000185736","CE008","chr10:1379161-1737050","chr10:1505255-1505358","104","AC/CT","cassette",NA,NA,NA,NA,NA,NA,NA,NA,"chr10:1379161-1505254","chr10:1505359-1737050",0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,0,6.4,0,34.1,27.8,0,39.3,24.1,0,17,0,1.7,0,3.2,13.9,10.6,19.6,12.1,"3.2",19.6,16.4,"1pct","TDPKDonly"
"25","ADARB2","3","ENSG00000185736","CE009","chr10:1379161-1737050","chr10:1630502-1645966","-","-/CT","polyA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"chr10:1645967-1737050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,2.2,0,25,33.3,36.1,37,13.7,0,25,0,0.7,0,2.2,33.3,28.9,37,13.7,"2.2",37,34.8,"10pct","TDPKDonly"
"26","ADARB2","3","ENSG00000185736","CE009","chr10:1379161-1737050","chr10:1630502-1645966","-","-/CT","polyA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"chr10:1645967-1737050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,2.2,0,25,33.3,36.1,37,13.7,0,25,0,0.7,0,2.2,33.3,28.9,37,13.7,"2.2",37,34.8,"5pct","TDPKDonly"
"27","ADARB2","3","ENSG00000185736","CE009","chr10:1379161-1737050","chr10:1630502-1645966","-","-/CT","polyA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"chr10:1645967-1737050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,2.2,0,25,33.3,36.1,37,13.7,0,25,0,0.7,0,2.2,33.3,28.9,37,13.7,"2.2",37,34.8,"1pct","TDPKDonly"
"28","ADCY1","long","ENSG00000164742","CE010","chr7:45622744-45648669","chr7:45625299-45625430","132","AG/GT","cassette",NA,NA,NA,NA,NA,NA,NA,"Y","chr7:45622744-45625298","chr7:45625431-45648669",0,0,0,0,0,0,52.5,86.9,57.1,36.8,86.7,0,0,0,0,0,0,20,48.1,37.9,22.6,60,0,36.2,0,0,0,0,67.5,50.2,29.7,73.3,"0",73.3,73.3,"10pct","TDPKDonly"
"29","ADCY1","long","ENSG00000164742","CE010","chr7:45622744-45648669","chr7:45625299-45625430","132","AG/GT","cassette",NA,NA,NA,NA,NA,NA,NA,"Y","chr7:45622744-45625298","chr7:45625431-45648669",0,0,0,0,0,0,52.5,86.9,57.1,36.8,86.7,0,0,0,0,0,0,20,48.1,37.9,22.6,60,0,36.2,0,0,0,0,67.5,50.2,29.7,73.3,"0",73.3,73.3,"5pct","TDPKDonly"
"30","ADCY1","long","ENSG00000164742","CE010","chr7:45622744-45648669","chr7:45625299-45625430","132","AG/GT","cassette",NA,NA,NA,NA,NA,NA,NA,"Y","chr7:45622744-45625298","chr7:45625431-45648669",0,0,0,0,0,0,52.5,86.9,57.1,36.8,86.7,0,0,0,0,0,0,20,48.1,37.9,22.6,60,0,36.2,0,0,0,0,67.5,50.2,29.7,73.3,"0",73.3,73.3,"1pct","TDPKDonly"
"31","ADCY1","short","ENSG00000164742","CE011","chr7:45622744-45648669","chr7:45625299-45625377","79","AG/GT","cassette",NA,NA,NA,NA,NA,NA,NA,NA,"chr7:45622744-45625298","chr7:45625378-45648669",0,0,0,0,0,0,52.5,86.9,57.1,36.8,86.7,0,0,0,0,0,0,42.9,77,61.7,41.5,80.6,0,47.7,0,0,0,0,82,60.7,39.1,83.7,"0",83.7,83.7,"10pct","TDPKDonly"
"32","ADCY1","short","ENSG00000164742","CE011","chr7:45622744-45648669","chr7:45625299-45625377","79","AG/GT","cassette",NA,NA,NA,NA,NA,NA,NA,NA,"chr7:45622744-45625298","chr7:45625378-45648669",0,0,0,0,0,0,52.5,86.9,57.1,36.8,86.7,0,0,0,0,0,0,42.9,77,61.7,41.5,80.6,0,47.7,0,0,0,0,82,60.7,39.1,83.7,"0",83.7,83.7,"5pct","TDPKDonly"
"33","ADCY1","short","ENSG00000164742","CE011","chr7:45622744-45648669","chr7:45625299-45625377","79","AG/GT","cassette",NA,NA,NA,NA,NA,NA,NA,NA,"chr7:45622744-45625298","chr7:45625378-45648669",0,0,0,0,0,0,52.5,86.9,57.1,36.8,86.7,0,0,0,0,0,0,42.9,77,61.7,41.5,80.6,0,47.7,0,0,0,0,82,60.7,39.1,83.7,"0",83.7,83.7,"1pct","TDPKDonly"
"34","ADCY8",NA,"ENSG00000155897","CE012","chr8:130904043-130909707","chr8:130908924-130909014","-","AC/-","start site",NA,NA,NA,NA,NA,NA,NA,NA,"chr8:130904043-130908923",NA,8,0,0,0,0,0,30,85.7,53.7,69.4,66.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,30,0,0,0,0,85.7,63.3,69.4,66.7,"4",85.7,81.7,"10pct","TDPKDonly"
"35","ADCY8",NA,"ENSG00000155897","CE012","chr8:130904043-130909707","chr8:130908924-130909014","-","AC/-","start site",NA,NA,NA,NA,NA,NA,NA,NA,"chr8:130904043-130908923",NA,8,0,0,0,0,0,30,85.7,53.7,69.4,66.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,30,0,0,0,0,85.7,63.3,69.4,66.7,"4",85.7,81.7,"5pct","TDPKDonly"
"36","ADCY8",NA,"ENSG00000155897","CE012","chr8:130904043-130909707","chr8:130908924-130909014","-","AC/-","start site",NA,NA,NA,NA,NA,NA,NA,NA,"chr8:130904043-130908923",NA,8,0,0,0,0,0,30,85.7,53.7,69.4,66.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,30,0,0,0,0,85.7,63.3,69.4,66.7,"4",85.7,81.7,"1pct","TDPKDonly"
"37","ADGRB1",NA,"ENSG00000181790","CE013","chr8:142526628-142533294","chr8:142526628-142531271","-","-/GT","exon ext.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"chr8:142531272-142533294",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.4,1.1,0.6,2.4,10.9,0,34,16.7,2.6,1.2,10.9,0,0.7,1.1,0.6,0,17.8,16.7,2.6,"1.2",17.8,16.6,"10pct","TDPKDonly"
"38","ADGRB1",NA,"ENSG00000181790","CE013","chr8:142526628-142533294","chr8:142526628-142531271","-","-/GT","exon ext.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"chr8:142531272-142533294",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.4,1.1,0.6,2.4,10.9,0,34,16.7,2.6,1.2,10.9,0,0.7,1.1,0.6,0,17.8,16.7,2.6,"1.2",17.8,16.6,"5pct","TDPKDonly"
"39","ADGRB1",NA,"ENSG00000181790","CE013","chr8:142526628-142533294","chr8:142526628-142531271","-","-/GT","exon ext.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"chr8:142531272-142533294",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.4,1.1,0.6,2.4,10.9,0,34,16.7,2.6,1.2,10.9,0,0.7,1.1,0.6,0,17.8,16.7,2.6,"1.2",17.8,16.6,"1pct","TDPKDonly"
"40","ADGRL1",NA,"ENSG00000072071","CE014","chr19:14177745-14183532","chr19:14176479-14176669","191","AC/CT","cassette",NA,NA,NA,NA,NA,NA,NA,NA,"chr19:14170792-14176478","chr19:14176670-14177530",0,0,0,0,0,0,18.5,23.4,30,26.5,25.6,0,0,0,0,0,0,18.5,30.7,25.2,18,30.5,0,18.5,0,0,0,0,27,26,22.2,28,"0",28,28,"10pct","TDPKDonly"
"41","ADGRL1",NA,"ENSG00000072071","CE014","chr19:14177745-14183532","chr19:14176479-14176669","191","AC/CT","cassette",NA,NA,NA,NA,NA,NA,NA,NA,"chr19:14170792-14176478","chr19:14176670-14177530",0,0,0,0,0,0,18.5,23.4,30,26.5,25.6,0,0,0,0,0,0,18.5,30.7,25.2,18,30.5,0,18.5,0,0,0,0,27,26,22.2,28,"0",28,28,"5pct","TDPKDonly"
"42","ADGRL1",NA,"ENSG00000072071","CE014","chr19:14177745-14183532","chr19:14176479-14176669","191","AC/CT","cassette",NA,NA,NA,NA,NA,NA,NA,NA,"chr19:14170792-14176478","chr19:14176670-14177530",0,0,0,0,0,0,18.5,23.4,30,26.5,25.6,0,0,0,0,0,0,18.5,30.7,25.2,18,30.5,0,18.5,0,0,0,0,27,26,22.2,28,"0",28,28,"1pct","TDPKDonly"
"43","ADGRL3",NA,"ENSG00000150471","CE015","chr4:61733555-61813808","chr4:61775439-61776284","846","AG/GT","cassette",NA,NA,NA,NA,NA,NA,NA,"Y","chr4:61733555-61775438","chr4:61776285-61813808",0,0,0,0,0,0,0,27.6,1.2,2.3,15.7,0,1.1,0,0,0,0,0,46.2,7.3,5.3,42,0,0,0.6,0,0,0,36.9,12.3,3.8,28.9,"0.6",36.9,36.3,"10pct","NMDi"
"44","ADGRL3",NA,"ENSG00000150471","CE015","chr4:61733555-61813808","chr4:61775439-61776284","846","AG/GT","cassette",NA,NA,NA,NA,NA,NA,NA,"Y","chr4:61733555-61775438","chr4:61776285-61813808",0,0,0,0,0,0,0,27.6,1.2,2.3,15.7,0,1.1,0,0,0,0,0,46.2,7.3,5.3,42,0,0,0.6,0,0,0,36.9,12.3,3.8,28.9,"0.6",36.9,36.3,"5pct","NMDi"
"45","ADGRL3",NA,"ENSG00000150471","CE015","chr4:61733555-61813808","chr4:61775439-61776284","846","AG/GT","cassette",NA,NA,NA,NA,NA,NA,NA,"Y","chr4:61733555-61775438","chr4:61776285-61813808",0,0,0,0,0,0,0,27.6,1.2,2.3,15.7,0,1.1,0,0,0,0,0,46.2,7.3,5.3,42,0,0,0.6,0,0,0,36.9,12.3,3.8,28.9,"0.6",36.9,36.3,"1pct","NMDi"
"46","AEBP2",NA,"ENSG00000139154","CE016","chr12:19462718-19473247","chr12:19466748-19466850","103","AG/GT","cassette",NA,NA,NA,NA,NA,NA,NA,NA,"chr12:19462718-19466747","chr12:19466851-19473247",2.2,8.7,9.8,2.9,12.9,50,5.6,58.2,11.1,8.3,35.7,2.2,6.7,10.8,5.6,10,0,8.1,23.3,20,17.5,28.9,13.6,6.8,7.7,8.7,4.2,11.4,40.8,20.2,12.9,32.3,"13.6",40.8,27.2,"10pct","NMDi"
"47","AEBP2",NA,"ENSG00000139154","CE016","chr12:19462718-19473247","chr12:19466748-19466850","103","AG/GT","cassette",NA,NA,NA,NA,NA,NA,NA,NA,"chr12:19462718-19466747","chr12:19466851-19473247",2.2,8.7,9.8,2.9,12.9,50,5.6,58.2,11.1,8.3,35.7,2.2,6.7,10.8,5.6,10,0,8.1,23.3,20,17.5,28.9,13.6,6.8,7.7,8.7,4.2,11.4,40.8,20.2,12.9,32.3,"13.6",40.8,27.2,"5pct","TDPKDonly"
"48","AEBP2",NA,"ENSG00000139154","CE016","chr12:19462718-19473247","chr12:19466748-19466850","103","AG/GT","cassette",NA,NA,NA,NA,NA,NA,NA,NA,"chr12:19462718-19466747","chr12:19466851-19473247",2.2,8.7,9.8,2.9,12.9,50,5.6,58.2,11.1,8.3,35.7,2.2,6.7,10.8,5.6,10,0,8.1,23.3,20,17.5,28.9,13.6,6.8,7.7,8.7,4.2,11.4,40.8,20.2,12.9,32.3,"13.6",40.8,27.2,"1pct","TDPKDonly"
"49","AGRN","long","ENSG00000188157","CE017","chr1:1044440-1045160","chr1:1044888-1044987","100","AG/GT","cassette",NA,NA,NA,NA,NA,NA,NA,NA,"chr1:1044440-1044887","chr1:1044988-1045160",0,0,0,0,0,0,1.9,0,4.2,6.6,2.8,0,0,0,0,0,0,4.1,5.4,10.4,10.2,6.9,0,3,0,0,0,0,2.7,6.8,8.4,4.8,"0",8.4,8.4,"10pct","NMDi"
"50","AGRN","long","ENSG00000188157","CE017","chr1:1044440-1045160","chr1:1044888-1044987","100","AG/GT","cassette",NA,NA,NA,NA,NA,NA,NA,NA,"chr1:1044440-1044887","chr1:1044988-1045160",0,0,0,0,0,0,1.9,0,4.2,6.6,2.8,0,0,0,0,0,0,4.1,5.4,10.4,10.2,6.9,0,3,0,0,0,0,2.7,6.8,8.4,4.8,"0",8.4,8.4,"5pct","NMDi"
"51","AGRN","long","ENSG00000188157","CE017","chr1:1044440-1045160","chr1:1044888-1044987","100","AG/GT","cassette",NA,NA,NA,NA,NA,NA,NA,NA,"chr1:1044440-1044887","chr1:1044988-1045160",0,0,0,0,0,0,1.9,0,4.2,6.6,2.8,0,0,0,0,0,0,4.1,5.4,10.4,10.2,6.9,0,3,0,0,0,0,2.7,6.8,8.4,4.8,"0",8.4,8.4,"1pct","TDPKDonly"
"52","AGRN","short","ENSG00000188157","CE018","chr1:1044440-1045160","chr1:1044892-1044987","96","AG/GT","cassette",NA,NA,NA,"Y",NA,NA,NA,NA,"chr1:1044440-1044891","chr1:1044988-1045160",0,0,0,0,0,0,1.3,3.6,1.7,3.4,1.1,0,0,0,0,0,0,4.1,5.4,10.4,10.2,6.9,0,2.7,0,0,0,0,4.5,5.6,6.8,4,"0",6.8,6.8,"10pct","NMDi"
"53","AGRN","short","ENSG00000188157","CE018","chr1:1044440-1045160","chr1:1044892-1044987","96","AG/GT","cassette",NA,NA,NA,"Y",NA,NA,NA,NA,"chr1:1044440-1044891","chr1:1044988-1045160",0,0,0,0,0,0,1.3,3.6,1.7,3.4,1.1,0,0,0,0,0,0,4.1,5.4,10.4,10.2,6.9,0,2.7,0,0,0,0,4.5,5.6,6.8,4,"0",6.8,6.8,"5pct","NMDi"
"54","AGRN","short","ENSG00000188157","CE018","chr1:1044440-1045160","chr1:1044892-1044987","96","AG/GT","cassette",NA,NA,NA,"Y",NA,NA,NA,NA,"chr1:1044440-1044891","chr1:1044988-1045160",0,0,0,0,0,0,1.3,3.6,1.7,3.4,1.1,0,0,0,0,0,0,4.1,5.4,10.4,10.2,6.9,0,2.7,0,0,0,0,4.5,5.6,6.8,4,"0",6.8,6.8,"1pct","TDPKDonly"
"55","AGTPBP1",NA,"ENSG00000135049","CE019","chr9:85633375-85642826","chr9:85639891-85639968","78","AC/CT","cassette",NA,NA,NA,NA,NA,NA,NA,NA,"chr9:85633375-85639890","chr9:85639969-85642826",0,0,0,0.9,0.3,0,0,5.8,8.6,0,9.2,0,0,0,0,0,0,2.8,6.9,8,2.4,7.8,0,1.4,0,0.2,0.4,0.1,6.3,6,1.2,8.5,"0.4",8.5,8.1,"10pct","NMDi"
"56","AGTPBP1",NA,"ENSG00000135049","CE019","chr9:85633375-85642826","chr9:85639891-85639968","78","AC/CT","cassette",NA,NA,NA,NA,NA,NA,NA,NA,"chr9:85633375-85639890","chr9:85639969-85642826",0,0,0,0.9,0.3,0,0,5.8,8.6,0,9.2,0,0,0,0,0,0,2.8,6.9,8,2.4,7.8,0,1.4,0,0.2,0.4,0.1,6.3,6,1.2,8.5,"0.4",8.5,8.1,"5pct","NMDi"
"57","AGTPBP1",NA,"ENSG00000135049","CE019","chr9:85633375-85642826","chr9:85639891-85639968","78","AC/CT","cassette",NA,NA,NA,NA,NA,NA,NA,NA,"chr9:85633375-85639890","chr9:85639969-85642826",0,0,0,0.9,0.3,0,0,5.8,8.6,0,9.2,0,0,0,0,0,0,2.8,6.9,8,2.4,7.8,0,1.4,0,0.2,0.4,0.1,6.3,6,1.2,8.5,"0.4",8.5,8.1,"1pct","TDPKDonly"
