"","Gene Symbol","CE Detail","Ensembl ID","ID #","Canonical Splice Junction","Cryptic Exon Location
  (hg38)","Cryptic Exon (bp)","Splice Site (L/R)","type","Noncoding","LEAKY/Weak","Annotated Alternate Exon","Inf. Ins.","UTR","Complex Splicing","Unannotated WT exon","Conserved Region","LeftJunction","RightJunction","LPSI_C","LPSI_CUS","LPSI_CX","LPSI_CXS","LPSI_CXU","LPSI_SgC","LPSI_T","LPSI_TUS","LPSI_TX","LPSI_TXS","LPSI_TXU","RPSI_C","RPSI_CUS","RPSI_CX","RPSI_CXS","RPSI_CXU","RPSI_SgC","RPSI_T","RPSI_TUS","RPSI_TX","RPSI_TXS","RPSI_TXU","avgCtrl","avgT","avgCUS","avgCX","avgCXS","avgCXU","avgTUS","avgTX","avgTXS","avgTXU","maxCtrl","maxTDP","maxDiff"
"14","CEP290","long","ENSG00000198707","CE063","chr12:88086499-88087779","chr12:88086642-88086789","148","AC/CT","cassette",NA,NA,NA,NA,NA,NA,NA,NA,"chr12:88086499-88086641","chr12:88086790-88087779",0,0,1.1,4,0,0,64.1,81.8,76.1,78,90.5,0,0,0,0,0,0,26.3,78.9,50,69.8,88.1,0,45.2,0,0.8,2,0,80.3,75.4,73.9,89.3,2,89.3,87.3
"15","CEP290","short","ENSG00000198707","CE064","chr12:88086499-88087779","chr12:88086642-88086742","101","AC/AC","cassette",NA,NA,NA,NA,NA,NA,NA,NA,"chr12:88086499-88086641","chr12:88086743-88087779",0,0,1.1,4,0,0,64.1,81.8,76.1,78,90.5,0,0,0,0,0,0,12.5,0,21.4,38.1,70.8,0,38.3,0,0.8,2,0,40.9,62.5,58,80.7,2,80.7,78.7
"16","DLGAP1",NA,"ENSG00000170579","CE102","chr18:4005202-4151179","chr18:4146750-4147667","-","-/CT","polyA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"chr18:4147668-4151179",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,44.2,85.7,64.6,75,86.8,0,44.2,0,0,0,0,85.7,75.5,75,86.8,0,86.8,86.8
"17","DNAAF9",NA,"ENSG00000088854","CE106","chr20:3343732-3348524","chr20:3344641-3344699","-","AC/-","cassette",NA,NA,NA,NA,NA,NA,NA,NA,"chr20:3343732-3344640","chr20:3344700-3348524",0,0,0,0,0,0,25.6,60.3,63.6,69.4,80.2,0,0,0,0,0,0,25.6,67.1,62.5,67.6,82.8,0,25.6,0,0,0,0,63.7,71,68.5,81.5,0,81.5,81.5
"18","EPB41L4A","2","ENSG00000129595","CE123","chr5:112266331-112275325","chr5:112267210-112267284","75","AC/CT","cassette",NA,NA,NA,"Y",NA,NA,NA,NA,"chr5:112266331-112267209","chr5:112267285-112275325",0,0,1.7,0,0,0,90.2,88.2,81.1,84,94.3,0,0,0,0,0,0,91.1,83.3,85.7,86.2,92.7,0,90.7,0,0.3,0,0,85.8,87.3,85.1,93.5,0.3,93.5,93.2
"19","FBN3","1","ENSG00000142449","CE140","chr19:8083373-8085362","chr19:8084235-8084411","177","AC/CT","cassette",NA,NA,NA,NA,NA,NA,NA,NA,"chr19:8083373-8084234","chr19:8084412-8085362",0,0,0,0,0,0,83.3,100,73.3,66.7,78.9,0,0,0,0,0,0,71.4,100,84.6,57.1,77.8,0,77.3,0,0,0,0,100,73.1,61.9,78.3,0,100,100
"20","FBN3","2","ENSG00000142449","CE141","chr19:8117590-8118896","chr19:8118351-8118456","106","AC/CT","cassette",NA,NA,NA,NA,NA,NA,NA,NA,"chr19:8117590-8118350","chr19:8118457-8118896",0,0,0,0,0,0,75,100,0,57.1,88.2,0,0,0,4,0,0,75,100,0,0,81.8,0,75,0,0.7,2,0,100,37.9,28.6,85,2,100,98
"21","HDGFL2",NA,"ENSG00000167674","CE167","chr19:4491836-4493702","chr19:4492015-4492152","138","AG/GT","cassette",NA,NA,NA,"Y",NA,NA,NA,NA,"chr19:4491836-4492014","chr19:4492153-4493702",0,0,0,0,0,0,66.3,48.1,65.4,83.2,47.7,0,0,0,0,0,0,58.8,42.4,62.4,79.1,56.7,0,62.5,0,0,0,0,45.2,65.8,81.2,52.2,0,81.2,81.2
"22","HS6ST3",NA,"ENSG00000185352","CE170","chr13:96091570-96832489","chr13:96095910-96099559","-","AG/-","polyA",NA,NA,NA,NA,NA,"Y",NA,NA,"chr13:96091570-96095909",NA,NA,NA,NA,NA,NA,NA,100,100,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,100,100,100,100,-Inf,100,Inf
"23","IFT122","long","ENSG00000163913","CE173","chr3:129483683-129488256","chr3:129483926-129484032","107","AG/GT","cassette",NA,NA,NA,NA,NA,NA,NA,NA,"chr3:129483683-129483925","chr3:129484033-129488256",0,0,0,0,0,0,57.6,40,52.2,89.2,75,0,0,0,0,0,0,0,50,47.6,77.8,56.5,0,28.8,0,0,0,0,45,66.4,83.5,65.8,0,83.5,83.5
"24","IFT122","short","ENSG00000163913","CE174","chr3:129483683-129488256","chr3:129483926-129484024","99","AG/GT","cassette",NA,NA,NA,"Y",NA,NA,NA,NA,"chr3:129483683-129483925","chr3:129484025-129488256",0,0,0,0,0,0,57.6,40,52.2,89.2,75,0,0,0,0,0,0,46.2,40,21.4,66.7,37.5,0,51.9,0,0,0,0,40,57,78,56.2,0,78,78
"25","IQCE","1","ENSG00000106012","CE185","chr7:2559218-2567115","chr7:2562526-2562575","50","AG/GT","cassette",NA,NA,NA,NA,NA,"Y",NA,NA,"chr7:2559218-2562525","chr7:2562576-2564877",5.5,0,0,0,0,0,66.7,88.2,45.5,57.1,81.2,0,0,0,0,0,0,77.8,84,64.7,70,79.3,1.4,72.2,0,0,0,0,86.1,66.3,63.5,80.2,1.4,86.1,84.7
"26","IQCE","2","ENSG00000106012","CE186","chr7:2559218-2567115","chr7:2562945-2563297","353","AG/GT","cassette",NA,NA,NA,NA,NA,"Y",NA,NA,"chr7:2559218-2562944","chr7:2563298-2564877",0,2.8,0,0,0,0,60,80,57.1,25,76,0,0,0,0,0,0,50,75,62.5,70,75,0,55,1.4,0,0,0,77.5,60.9,47.5,75.5,1.4,77.5,76.1
"27","IQCE","3","ENSG00000106012","CE187","chr7:2559218-2567115","chr7:2564878-2565071","194","AG/GT","cassette",NA,NA,NA,NA,NA,"Y",NA,NA,"chr7:2559218-2564877;chr7:2562576-2564877","chr7:2565072-2567115",0,0,2.4,0,0,0,94.8,94.2,91.3,88.5,93.4,0,0,0,0,0,0,87.1,92.3,85,76.9,89.7,0,90.9,0,0.4,0,0,93.2,87.5,82.7,91.6,0.4,93.2,92.8
"28","KALRN","2_long","ENSG00000160145","CE195","chr3:124700034-124702037","chr3:124700977-124701255","279","AG/GT","cassette",NA,NA,NA,NA,NA,NA,NA,NA,"chr3:124700034-124700976","chr3:124701256-124702037",0,0,0,1.1,0.5,0,70.3,58.3,57.5,70.6,71.3,0.6,0.6,0.8,0.5,0.5,0,83.1,83,79.4,85.3,86.9,0.1,76.7,0.3,0.6,0.8,0.5,70.7,75.2,77.9,79.1,0.8,79.1,78.3
"29","KALRN","2_short","ENSG00000160145","CE196","chr3:124700034-124702037","chr3:124701093-124701255","163","AG/GT","cassette",NA,NA,NA,NA,NA,NA,NA,NA,"chr3:124700034-124701092","chr3:124701256-124702037",0,0.6,1,0.5,0.5,0,77.6,77.3,71.1,77.5,81.2,0.6,0.6,0.8,0.5,0.5,0,83.1,83,79.4,85.3,86.9,0.1,80.3,0.6,0.6,0.5,0.5,80.2,80.2,81.4,84.1,0.6,84.1,83.5
"30","KIAA0753",NA,"ENSG00000198920","CE201","chr17:6579865-6589778","chr17:6580932-6580975","44","AC/CT","cassette",NA,NA,NA,NA,NA,NA,NA,NA,"chr17:6579865-6580931","chr17:6580976-6589778",0,1.3,0.7,0,0.9,0,33.3,82.6,46,47.4,79.7,0,1.3,0.7,0,0.9,0,33.3,78.1,39,46.9,81,0,33.3,1.3,0.5,0,0.9,80.3,56.7,47.1,80.3,1.3,80.3,79
"31","LINC01503",NA,"ENSG00000233901","CE213","chr9:129336989-129338791","chr9:129337785-129337959","175","AG/GT","cassette",NA,NA,NA,NA,NA,NA,NA,NA,"chr9:129336989-129337784","chr9:129337960-129338791",0,0,0,0,0,0,65.2,76.1,83.3,85.7,74.8,0,0,0,0,0,0,57.4,77.2,86.5,83.6,65.9,0,61.3,0,0,0,0,76.7,80,84.7,70.3,0,84.7,84.7
"32","MADD",NA,"ENSG00000110514","CE220","chr11:47324578-47328657","chr11:47324918-47325032","115","AG/GT","cassette",NA,NA,NA,NA,NA,"Y",NA,NA,"chr11:47324578-47324917","chr11:47325033-47328657",0.6,0.9,1,1.6,0.6,2.6,55.6,70.2,62.8,72.4,81,0,0,0.5,0,0,0,33.3,36.4,55.4,48.8,63.4,0.8,44.5,0.4,0.6,0.8,0.3,53.3,64,60.6,72.2,0.8,72.2,71.4
"33","MGAT5B",NA,"ENSG00000167889","CE229","chr17:76932776-76937987","chr17:76937229-76937368","140","AG/GT","cassette",NA,NA,NA,NA,NA,NA,NA,NA,"chr17:76932776-76937228","chr17:76937369-76937987",NA,0,0,0,NA,NA,NA,NA,NA,100,40,NA,0,0,0,NA,NA,100,100,100,100,94.7,NA,100,0,0,0,NA,100,86.9,100,67.3,0,100,100
"34","MNAT1",NA,"ENSG00000020426","CE230","chr14:60812128-60818721","chr14:60817918-60817949","32","AG/GT","cassette",NA,NA,NA,NA,NA,NA,NA,NA,"chr14:60812128-60817917","chr14:60817950-60818721",0,0,1,0,1.2,0,55.3,74.4,33.3,29,71.4,0,0,1,0,0,0,63.8,80,44,46.3,76.7,0,59.5,0,0.5,0,0.6,77.2,50.1,37.6,74.1,0.6,77.2,76.6
"35","MYO18A","2","ENSG00000196535","CE239","chr17:29124689-29165941","chr17:29131383-29131442","60","AC/CT","cassette",NA,NA,NA,"Y",NA,NA,NA,NA,"chr17:29124689-29131382","chr17:29131443-29165941",1.3,2.1,1.4,0,2.4,0,65.5,77.8,48.6,60,80.9,0,0,1.4,2,0,0,50,77.8,51.3,59.1,69,0.3,57.8,1,1.2,1,1.2,77.8,61.5,59.5,75,1.2,77.8,76.6
"36","NKD1",NA,"ENSG00000140807","CE250","chr16:50608361-50621601","chr16:50620845-50620949","105","AG/GT","cassette",NA,NA,NA,NA,NA,NA,NA,NA,"chr16:50608361-50620844","chr16:50620950-50621601",0,0,0,0,0,0,46.7,78.3,43.8,38.5,82.1,0,0,0,0,0,0,55.6,66.7,35.7,68,84.8,0,51.2,0,0,0,0,72.5,58.8,53.2,83.4,0,83.4,83.4
"37","NUP188",NA,"ENSG00000095319","CE258","chr9:128952847-128956349","chr9:128956141-128956174","34","AG/GT","cassette",NA,NA,NA,NA,NA,NA,NA,NA,"chr9:128952847-128956140","chr9:128956175-128956349",0,0,0,0,0,0,64.7,88.1,64.7,84.2,83.9,0,0,0,0,0,0,60,93,58.6,83.3,88.5,0,62.4,0,0,0,0,90.6,77.2,83.8,86.2,0,90.6,90.6
"38","NYNRIN",NA,"ENSG00000205978","CE259","chr14:24411451-24412996","chr14:24412644-24412691","48","AG/GT","cassette",NA,NA,NA,NA,NA,NA,NA,NA,"chr14:24411451-24412643","chr14:24412692-24412996",0,0,3.3,0,0,0,26.9,71.4,40.9,60,87.5,5.2,0,1.7,0,3,0,57.8,86.7,77.6,84,92.3,1.3,42.3,0,1.3,0,1.5,79.1,73.7,72,89.9,1.5,89.9,88.4
"39","ONECUT1","1","ENSG00000169856","CE260","chr15:52757848-52788779","chr15:52775778-52777690","-","-/CT","start site",NA,NA,NA,NA,NA,"Y",NA,NA,NA,"chr15:52777691-52780595;chr15:52777691-52788779",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3.9,0,0,0,61.4,55.6,67.2,80.4,37.2,0,61.4,0,1.3,0,0,55.6,61.6,80.4,37.2,1.3,80.4,79.1
"40","PAOX",NA,"ENSG00000148832","CE263","chr10:133389748-133391311","chr10:133390907-133391098","192","AG/GT","cassette",NA,NA,NA,NA,NA,NA,NA,NA,"chr10:133389748-133390906","chr10:133391099-133391311",0,0,0,0,0,0,50,NA,52.4,56.2,40,0,0,1.5,0,0,0,63.6,100,44.4,53.3,40,0,56.8,0,0.2,0,0,100,47.7,54.8,40,0.2,100,99.8
"41","PFKP",NA,"ENSG00000067057","CE269","chr10:3099353-3101364","chr10:3099557-3099819","263","AG/GT","cassette",NA,NA,NA,NA,NA,NA,NA,NA,"chr10:3099353-3099556","chr10:3099820-3101364",0,0,0,0,0,0,35.3,78.4,52.2,70.6,90,0,0,0,0,0,0,34,85.7,68.6,80.8,93.5,0,34.6,0,0,0,0,82.1,76,75.7,91.8,0,91.8,91.8
"42","PHF2",NA,"ENSG00000197724","CE270","chr9:93660561-93662906","chr9:93661348-93661807","-","AG/-","polyA",NA,NA,NA,NA,NA,NA,NA,NA,"chr9:93660561-93661347",NA,0,0,0,0,0,0,73,78.3,82.2,89.1,67.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,73,0,0,0,0,78.3,79.6,89.1,67.4,0,89.1,89.1
"43","PRELID3A",NA,"ENSG00000141391","CE286","chr18:12429437-12431149","chr18:12430178-12430292","115","AG/GT","cassette",NA,NA,NA,NA,"Y",NA,NA,NA,"chr18:12429437-12430177","chr18:12430293-12431149",0,0,0,0,0,0,41.2,26.3,36.7,58.8,71.4,0,0,0,0,0,0,44.4,51.7,62.7,87,68.8,0,42.8,0,0,0,0,39,64.2,72.9,70.1,0,72.9,72.9
"44","PTPRD",NA,"ENSG00000153707","CE292","chr9:9018736-9183303","chr9:9127165-9127206","42","AC/CT","cassette",NA,NA,NA,NA,"Y",NA,NA,NA,"chr9:9018736-9127164","chr9:9127207-9183303",0,0,4.6,3.3,0,0,67.8,61.5,62.7,67.3,54.7,3.1,7.4,3.8,3.3,0,0,74.3,60.5,63.1,71.3,61.3,0.8,71,3.7,2.5,3.3,0,61,63.4,69.3,58,3.7,71,67.3
"45","PTPRT",NA,"ENSG00000196090","CE298","chr20:42098553-42102123","chr20:42099129-42099289","161","AC/CT","cassette",NA,NA,NA,NA,NA,NA,NA,NA,"chr20:42098553-42099128","chr20:42099290-42102123",0,0,0,0,0,0,18.2,89.2,48.3,88.5,71.8,0,0,0,0,0,0,16.7,84,34.8,82.4,56.9,0,17.4,0,0,0,0,86.6,63.8,85.4,64.3,0,86.6,86.6
"46","PXDN",NA,"ENSG00000130508","CE299","chr2:1649676-1653627","chr2:1650800-1650886","87","AC/CT","cassette",NA,NA,NA,"Y",NA,NA,NA,NA,"chr2:1649676-1650799","chr2:1650887-1653627",0.9,0.7,0.9,0.5,0.3,1.5,73.6,73.4,64.3,74.5,84.2,0.5,0.7,0.8,0.5,0.7,0,61.6,67.4,49.7,69.5,78.3,0.7,67.6,0.7,0.6,0.5,0.5,70.4,70.1,72,81.2,0.7,81.2,80.5
"47","SDAD1",NA,"ENSG00000198301","CE336","chr4:75982038-75990751","chr4:75984832-75984893","62","AC/CT","cassette",NA,NA,NA,NA,NA,NA,NA,"Y","chr4:75982038-75984831","chr4:75984894-75990751",1,0,0,0,0,0,18,71.8,31.7,26.2,61.3,0,0,0,0,0,0,7.4,69.6,26.8,11.4,59,0.2,12.7,0,0,0,0,70.7,36.1,18.8,60.1,0.2,70.7,70.5
"48","SIPA1L3",NA,"ENSG00000105738","CE351","chr19:37907359-38029088","chr19:38008096-38008195","100","AG/GT","cassette",NA,NA,NA,NA,"Y",NA,NA,NA,"chr19:37907359-38008095","chr19:38008196-38029088",0,0,0,0,0,0,33.3,57.1,33.3,28.1,100,4.8,0,3.4,0,8,0,11.1,25,33.3,14.8,NA,1.2,22.2,0,1.9,0,4,41,41.9,21.5,100,4,100,96
"49","SLC24A3","long","ENSG00000185052","CE357","chr20:19681992-19684175","chr20:19683910-19683960","51","AG/GT","cassette",NA,NA,NA,"Y",NA,NA,NA,NA,"chr20:19681992-19683909","chr20:19683961-19684175",1.9,4,1.9,0,2.4,0,50,61.1,60,52.4,100,3.6,14.3,1.9,2.9,0,0,80.6,78.8,79.5,70.6,100,1.4,65.3,9.2,1.5,1.4,1.2,70,77.1,61.5,100,9.2,100,90.8
"50","SLC24A3","short","ENSG00000185052","CE358","chr20:19681992-19684175","chr20:19683913-19683960","48","AG/GT","cassette",NA,NA,NA,"Y",NA,NA,NA,NA,"chr20:19681992-19683912","chr20:19683961-19684175",1.9,4,1.9,5.6,2.4,0,63.2,46.2,46.7,65.5,100,3.6,14.3,1.9,2.9,0,0,80.6,78.8,79.5,70.6,100,1.4,71.9,9.2,2.4,4.2,1.2,62.5,77,68,100,9.2,100,90.8
"51","STMN2",NA,"ENSG00000104435","CE366","chr8:79611215-79636801","chr8:79616822-79617023","-","AG/-","polyA",NA,NA,NA,NA,NA,NA,NA,NA,"chr8:79611215-79616821",NA,0,0.1,0,0,0,0.1,51.8,74.6,60.3,56.5,71.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,51.8,0.1,0,0,0,74.6,62.8,56.5,71.6,0.1,74.6,74.5
"52","SYT7",NA,"ENSG00000011347","CE372","chr11:61547309-61551383","chr11:61547530-61547620","91","AC/CT","cassette",NA,NA,NA,NA,NA,NA,NA,NA,"chr11:61547309-61547529","chr11:61547621-61551383",0,0,0,0,0,0,70.2,75.8,75.7,81.9,65.1,0,0,0.9,0,0,0,67.3,71.1,72,82.2,72.3,0,68.8,0,0.1,0,0,73.4,74.9,82.1,68.7,0.1,82.1,82
"53","TMEM117",NA,"ENSG00000139173","CE381","chr12:43836197-43844623","chr12:43836744-43836901","158","AG/GC","cassette",NA,NA,NA,NA,"Y",NA,NA,NA,"chr12:43836197-43836743","chr12:43836902-43844623",0,0,0,0,0,0,46.2,81.6,57.1,57.7,78.6,0,0,0,0,0,0,22.2,83.7,50,42.1,64.7,0,34.2,0,0,0,0,82.7,58.4,49.9,71.7,0,82.7,82.7
"54","TRAPPC12","short","ENSG00000171853","CE386","chr2:3457694-3460262","chr2:3458462-3458515","54","AG/GT","cassette",NA,NA,NA,NA,NA,NA,NA,NA,"chr2:3457694-3458461","chr2:3458516-3460262",0,0,0,0,0,0,17.6,49,23.7,47.2,63.6,0,0,0,0,0,0,34.9,68.3,72.2,80.6,78.4,0,26.2,0,0,0,0,58.6,61,63.9,71,0,71,71
"55","UNC13A","short","ENSG00000130477","CE396","chr19:17641557-17642844","chr19:17642414-17642541","128","AC/CT","cassette",NA,NA,NA,NA,NA,NA,NA,NA,"chr19:17641557-17642413","chr19:17642542-17642844",0,0,0,0,0,0,42.6,72.9,69.4,64.6,78.3,0,0,0,0,0,0,42.6,72.9,67.2,64.6,85.3,0,42.6,0,0,0,0,72.9,71.6,64.6,81.8,0,81.8,81.8
"56","UNC13B",NA,"ENSG00000198722","CE397","chr9:35313990-35366946","chr9:35364545-35364567","23","AG/GT","cassette",NA,NA,"Y",NA,NA,NA,NA,"Y","chr9:35313990-35364544","chr9:35364568-35366946",1.6,0,2.1,0,5.4,0,20,42.9,13.9,54.5,67.3,1.2,2.2,0.9,1,5.1,0,29.4,56.1,16.2,53.5,73.2,0.7,24.7,1.1,2.4,0.5,5.2,49.5,46.4,54,70.2,5.2,70.2,65
"57","USP13",NA,"ENSG00000058056","CE399","chr3:179701130-179706933","chr3:179701130-179701179","-","-/GT","exon ext.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"chr3:179701180-179706933",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7.8,4,2.9,0,0,9.5,20,68.2,75,47.4,0,9.5,7.8,2.3,2.9,0,20,63.5,75,47.4,7.8,75,67.2
"58","USP36",NA,"ENSG00000055483","CE401","chr17:78836373-78838586","chr17:78836897-78836976","80","AC/CT","cassette",NA,NA,NA,NA,"Y",NA,NA,NA,"chr17:78836373-78836896","chr17:78836977-78838586",0,0,2.2,3.2,1.5,0,7.1,23.1,43.8,78.9,28.3,3.3,0,4.4,0,0,0,0,7.4,41.9,66.7,30.6,0.8,3.5,0,1.9,1.6,0.8,15.2,48.4,72.8,29.5,1.9,72.8,70.9
