"","Gene Symbol","CE Detail","Ensembl ID","ID #","Canonical Splice Junction","Cryptic Exon Location
(hg38)","LeftJunction","RightJunction","L_padj_TDPvCtrl","R_padj_TDPvCtrl","L_padj_TDPvTXUTXS","R_padj_TDPvTXUTXS"
"23","ANKMY2","1","ENSG00000106524","CE023","chr7:16602510-16604720","chr7:16603549-16603660","chr7:16602510-16603548","chr7:16603661-16604720","7.26e-08","7.26e-08","0.00206","0.00206"
"24","ANKMY2","2","ENSG00000106524","CE024","chr7:16636456-16645506","chr7:16644685-16644812","chr7:16636456-16644684","chr7:16644813-16645506","0.00338","0.00338","2.59e-06","2.59e-06"
"25","ANO10",NA,"ENSG00000160746","CE025","chr3:43549849-43555277","chr3:43551472-43551566","chr3:43549849-43551471","chr3:43551567-43555277","0.0297","0.0297","0.0207","0.0207"
"26","AP3M1",NA,"ENSG00000185009","CE026","chr10:74136804-74138106","chr10:74137115-74137212","chr10:74136804-74137114","chr10:74137213-74138106","0.0545","0.0545","0.0365","0.0365"
"27","ARHGAP32",NA,"ENSG00000134909","CE027","chr11:128988126-128998318","chr11:128991575-128992046",NA,"chr11:128992047-128998318",NA,"3.37e-10",NA,"0.585"
"28","ARIH2",NA,"ENSG00000177479","CE028","chr3:48970705-48973698","chr3:48970705-48970841",NA,"chr3:48970842-48973698",NA,"6.42e-09",NA,"0.385"
"29","ARL15",NA,"ENSG00000185305","CE029","chr5:54171929-54282270","chr5:54242070-54242150","chr5:54171929-54242069","chr5:54242151-54282270","3.32e-17","3.32e-17","0.0932","0.0932"
"30","ATG14",NA,"ENSG00000126775","CE030","chr14:55390993-55395939","chr14:55394649-55394715","chr14:55390993-55394648","chr14:55394716-55395939","0.0398","0.0398","not calculated","not calculated"
"31","ATG4B","long","ENSG00000168397","CE031","chr2:241668686-241670725","chr2:241668782-241668985","chr2:241668686-241668781","chr2:241668986-241670725","2.88e-32","2.88e-32","3.31e-05","3.31e-05"
"32","ATG4B","short","ENSG00000168397","CE032","chr2:241668686-241670725","chr2:241668875-241668985","chr2:241668686-241668874","chr2:241668986-241670725","2.88e-32","2.88e-32","3.31e-05","3.31e-05"
"33","ATXN1",NA,"ENSG00000124788","CE033","chr6:16585908-16657775","chr6:16589446-16589513","chr6:16585908-16589445","chr6:16589514-16657775","not calculated","5.91e-08","not calculated","not calculated"
"34","AUH",NA,"ENSG00000148090","CE034","chr9:91356156-91361627","chr9:91360371-91360440","chr9:91356156-91360370;chr9:91356156-91360278","chr9:91360441-91361627","0.000242, 0.000242","0.000242","3.57e-09, 3.57e-09","3.57e-09"
"35","BBS7",NA,"ENSG00000138686","CE035","chr4:121828729-121833230","chr4:121832060-121832173","chr4:121828729-121832059","chr4:121832174-121833230","0.0012","not calculated","0.00306","not calculated"
"36","BCAS3",NA,"ENSG00000141376","CE036","chr17:60684037-60689685","chr17:60688932-60689046","chr17:60684037-60688931","chr17:60689047-60689685","0.0303","0.0303","9.25e-05","9.25e-05"
"37","BCKDHB","1","ENSG00000083123","CE037","chr6:80127625-80129160","chr6:80128599-80128842","chr6:80127625-80128598","chr6:80128843-80129160","not calculated","not calculated","not calculated","not calculated"
"38","BCKDHB","2","ENSG00000083123","CE038","chr6:80169031-80171281","chr6:80169811-80169904","chr6:80169031-80169810",NA,"1.61e-06",NA,"not calculated",NA
"39","BCL2L13",NA,"ENSG00000099968","CE039","chr22:17702387-17726676","chr22:17722274-17722390","chr22:17702387-17722273","chr22:17722391-17726690","2.04e-18","not calculated","0.000147","not calculated"
"40","BRWD1",NA,"ENSG00000185658","CE040","chr21:39229437-39232176","chr21:39230241-39230308","chr21:39229437-39230240","chr21:39230309-39232176","0.00901","0.00901","0.17","0.17"
"41","C1orf53",NA,"ENSG00000203724","CE041","chr1:197902914-197905795","chr1:197903012-197903119",NA,"chr1:197903120-197905795",NA,"3.71e-06",NA,"0.967"
"42","CACNA1B",NA,"ENSG00000148408","CE042","chr9:138013236-138023010","chr9:138017139-138017201","chr9:138013236-138017138","chr9:138017202-138023010","5.81e-08","5.81e-08","0.343","0.343"
"43","CACNA1C",NA,"ENSG00000151067","CE043","chr12:2512985-2549942","chr12:2547450-2547524","chr12:2512985-2547449","chr12:2547525-2549942","3.04e-12","3.04e-12","0.289","0.289"
"44","CACNA1C","2","ENSG00000151067","CE044","chr12:2679797-2682549","chr12:2680363-2680575","chr12:2679797-2680362","chr12:2680576-2682549","not calculated","8.22e-07","not calculated","not calculated"
"45","CACNA1E",NA,"ENSG00000198216","CE045","chr1:181726163-181732383","chr1:181731175-181731231","chr1:181726163-181731174","chr1:181731232-181732383","1.1e-14","1.1e-14","0.022","0.022"
"46","CADPS",NA,"ENSG00000163618","CE046","chr3:62403186-62438103","chr3:62420936-62421128","chr3:62403186-62420935","chr3:62421129-62438103","6.16e-21","6.16e-21","1.01e-08","1.01e-08"
"47","CAMK2B","1","ENSG00000058404","CE047","chr7:44220902-44226515","chr7:44222117-44223928","chr7:44220902-44222116","chr7:44223929-44231005","6.94e-30","6.94e-30","1.64e-25","1.64e-25"
"48","CAMK2B","2_long","ENSG00000058404","CE048","chr7:44254608-44258871","chr7:44258490-44258610","chr7:44254608-44258489","chr7:44258611-44258871","3.3e-32","3.3e-32","0.024","0.024"
"49","CAMK2B","2_short","ENSG00000058404","CE049","chr7:44254608-44258871","chr7:44258490-44258514","chr7:44254608-44258489","chr7:44258515-44258871","3.3e-32","3.3e-32","0.024","0.024"
"50","CBARP",NA,"ENSG00000099625","CE050","chr19:1235146-1235500","chr19:1235146-1235342",NA,"chr19:1235343-1235500",NA,"1.8e-35",NA,"0.000228"
"51","CBARP","long","ENSG00000099625","CE051","chr19:1235146-1235500","chr19:1235146-1235390",NA,"chr19:1235391-1235500",NA,"1.8e-35",NA,"0.000228"
"52","CBARP","miniexon","ENSG00000099625","CE052","chr19:1235146-1235500","chr19:1235312-1235342","chr19:1235146-1235311","chr19:1235343-1235500","1.8e-35","1.8e-35","0.000228","0.000228"
"53","CDK19",NA,"ENSG00000155111","CE053","chr6:110623363-110626775","chr6:110623363-110623478",NA,"chr6:110623479-110626775",NA,"0.00522",NA,"0.00899"
"54","CDK7","long","ENSG00000134058","CE054","chr5:69259937-69262204","chr5:69261377-69261458","chr5:69259937-69261376","chr5:69261459-69262204","1.11e-18","1.11e-18","0.000732","0.000732"
"55","CDK7","short","ENSG00000134058","CE055","chr5:69259937-69262204","chr5:69261323-69261458","chr5:69259937-69261322","chr5:69261459-69262204","not calculated","1.11e-18","not calculated","0.000732"
"56","CDO1","1","ENSG00000129596","CE056","chr5:115806519-115811160","chr5:115809622-115809697","chr5:115806519-115809621","chr5:115809698-115811160","0.00299","0.00299","7.82e-05","7.82e-05"
"57","CDO1","2","ENSG00000129596","CE057","chr5:115813259-115816227","chr5:115813898-115813954","chr5:115813259-115813897","chr5:115813955-115816227","1.43e-56","1.43e-56","9.06e-09","9.06e-09"
"58","CDO1","3","ENSG00000129596","CE058","chr5:115813259-115816227","chr5:115814286-115814484","chr5:115813955-115814285","chr5:115814485-115816227","1.43e-56","1.43e-56","9.06e-09","9.06e-09"
"59","CELF5","long","ENSG00000161082","CE059","chr19:3278111-3281198","chr19:3278209-3278316",NA,"chr19:3278317-3281198",NA,"1.39e-43",NA,"1.82e-11"
"60","CELF5","mid","ENSG00000161082","CE060","chr19:3278111-3281198","chr19:3278213-3278316","chr19:3278111-3278212","chr19:3278317-3281198","1.39e-43","1.39e-43","1.82e-11","1.82e-11"
"61","CELF5","short","ENSG00000161082","CE061","chr19:3278111-3281198","chr19:3278231-3278316","chr19:3278111-3278230","chr19:3278317-3281198","1.39e-43","1.39e-43","1.82e-11","1.82e-11"
"62","CEP131",NA,"ENSG00000141577","CE062","chr17:81207240-81208927","chr17:81208144-81208356","chr17:81207240-81208143","chr17:81208357-81208927","1.34e-08","not calculated","not calculated","not calculated"
"63","CEP290","long","ENSG00000198707","CE063","chr12:88086499-88087779","chr12:88086642-88086789","chr12:88086499-88086641","chr12:88086790-88087779","4.17e-20","4.17e-20","0.00133","0.00133"
"64","CEP290","short","ENSG00000198707","CE064","chr12:88086499-88087779","chr12:88086642-88086742","chr12:88086499-88086641","chr12:88086743-88087779","4.17e-20","not calculated","0.00133","not calculated"
"65","CEP57",NA,"ENSG00000166037","CE065","chr11:95790744-95795515","chr11:95794221-95794533","chr11:95790744-95794220","chr11:95794534-95795515","3.84e-05","not calculated","0.0184","not calculated"
"66","CEP72",NA,"ENSG00000112877","CE066","chr5:647917-652987","chr5:648100-648223","chr5:647917-648099","chr5:648224-652987","1.6e-12","1.6e-12","not calculated","not calculated"
"67","CERK",NA,"ENSG00000100422","CE067","chr22:46721016-46738006","chr22:46734627-46735508",NA,"chr22:46735509-46738006",NA,"8.34e-05",NA,"0.00627"
"68","CERS4",NA,"ENSG00000090661","CE068","chr19:8210863-8251075","chr19:8240486-8240563","chr19:8210863-8240485","chr19:8240564-8241340","not calculated","not calculated","not calculated","not calculated"
"69","CERT1",NA,"ENSG00000113163","CE069","chr5:75411104-75416875","chr5:75415197-75415235","chr5:75411104-75415196","chr5:75415236-75416875","0.000196","not calculated","0.0187","not calculated"
"70","CFAP97",NA,"ENSG00000164323","CE070","chr4:185176052-185190142","chr4:185188951-185189069","chr4:185176052-185188950","chr4:185189070-185190142","not calculated","0.175","not calculated","0.0189"
"71","CHD8",NA,"ENSG00000100888","CE071","chr14:21415908-21426127","chr14:21418212-21418353","chr14:21415908-21418211","chr14:21418354-21426127","1.96e-05","not calculated","0.000444","not calculated"
"72","CHFR",NA,"ENSG00000072609","CE072","chr12:132848156-132848640","chr12:132848156-132848223",NA,"chr12:132848224-132848640",NA,"0.372",NA,"0.0178"
"73","CHID1",NA,"ENSG00000177830","CE073","chr11:900981-902197","chr11:902148-902197","chr11:900981-902147",NA,"3.4e-09",NA,"0.000626",NA
"74","CHMP2B","long","ENSG00000083937","CE074","chr3:87227557-87240698","chr3:87240327-87240453","chr3:87227557-87240326","chr3:87240454-87240698","not calculated","not calculated","not calculated","not calculated"
"75","CHMP2B","short","ENSG00000083937","CE075","chr3:87227557-87240698","chr3:87240323-87240453","chr3:87227557-87240322","chr3:87240454-87240698","0.00563","not calculated","0.0287","not calculated"
"76","CHMP5",NA,"ENSG00000086065","CE076","chr9:33271224-33276455","chr9:33273488-33273528","chr9:33271224-33273487","chr9:33273529-33276455","1.2e-09","1.2e-09","7.3e-06","7.3e-06"
"77","CHRNB3",NA,"ENSG00000147432","CE077","chr8:42697599-42708716","chr8:42704349-42704481","chr8:42697599-42704348","chr8:42704482-42708716","7.89e-15","7.89e-15","2.59e-08","2.59e-08"
"78","CIC",NA,"ENSG00000079432","CE078","chr19:42269382-42271773","chr19:42270505-42270549","chr19:42269382-42270504","chr19:42270550-42271773","not calculated","not calculated","not calculated","not calculated"
"79","CNGA3",NA,"ENSG00000144191","CE079","chr2:98370077-98377686","chr2:98375922-98376036","chr2:98370077-98375921","chr2:98376037-98377686","1.84e-13","1.84e-13","0.261","0.261"
"80","CNOT1",NA,"ENSG00000125107","CE080","chr16:58538915-58539767","chr16:58539521-58539556","chr16:58538915-58539520","chr16:58539557-58539767","6.43e-17","6.43e-17","0.00023","0.00023"
"81","CNOT2","long","ENSG00000111596","CE081","chr12:70278275-70310894","chr12:70294071-70294294","chr12:70278275-70294070","chr12:70294295-70310894","1.32e-08","1.32e-08","0.000233","0.000233"
"82","CNOT2","short","ENSG00000111596","CE082","chr12:70278275-70310894","chr12:70294237-70294294","chr12:70278275-70294236","chr12:70294295-70310894","1.32e-08","1.32e-08","0.000233","0.000233"
"83","COPB2",NA,"ENSG00000184432","CE083","chr3:139383436-139389547","chr3:139385004-139385200","chr3:139383436-139385003","chr3:139385201-139389547","6.28e-05","6.28e-05","0.0028","0.0028"
"84","CORO7","long","ENSG00000262246","CE084","chr16:4365546-4387985","chr16:4367184-4367442","chr16:4365546-4367183","chr16:4367443-4387985","1.89e-22","1.89e-22","0.00309","0.00309"
"85","CORO7","short","ENSG00000262246","CE085","chr16:4365546-4387985","chr16:4367298-4367442","chr16:4365546-4367297","chr16:4367443-4387985","1.89e-22","1.89e-22","0.00309","0.00309"
"86","CPLANE1",NA,"ENSG00000197603","CE086","chr5:37122489-37125243","chr5:37124014-37124050","chr5:37122489-37124013","chr5:37124051-37125243","4.91e-07","not calculated","8.21e-05","not calculated"
"87","CRLS1","1","ENSG00000088766","CE087","chr20:6015491-6031284","chr20:6023292-6023422","chr20:6015491-6023291","chr20:6023423-6026170;chr20:6023423-6031284","1.28e-26","1.28e-26","1.84e-11","1.84e-11"
"88","CRLS1","2","ENSG00000088766","CE088","chr20:6015491-6031284","chr20:6026171-6026238","chr20:6015491-6026170;chr20:6023423-6026170","chr20:6026239-6031284;chr20:6026239-6028671","1.28e-26, 1.28e-26","1.28e-26, 1.28e-26","1.84e-11, 1.84e-11","1.84e-11, 1.84e-11"
"89","CRLS1","3","ENSG00000088766","CE089","chr20:6015491-6031284","chr20:6028672-6028725","chr20:6015491-6028671;chr20:6026239-6028671","chr20:6028726-6031284","1.28e-26","1.28e-26","1.84e-11","1.84e-11"
"90","CTTNBP2",NA,"ENSG00000077063","CE090","chr7:117861317-117873334","chr7:117862098-117863026","chr7:117861317-117862097","chr7:117863027-117873334","1.09e-10","1.09e-10","0.195","0.195"
"91","CYFIP2","1","ENSG00000055163","CE091","chr5:157328050-157330741","chr5:157330162-157330227","chr5:157328050-157330161","chr5:157330228-157330741","3.45e-16","3.45e-16","0.00011","0.00011"
"92","CYFIP2","2","ENSG00000055163","CE092","chr5:157360373-157361467","chr5:157360555-157360622","chr5:157360373-157360554","chr5:157360623-157361268","5.89e-30","5.89e-30","0.0859","0.0859"
"93","CYFIP2","3","ENSG00000055163","CE093","chr5:157360373-157361467","chr5:157361269-157361336","chr5:157360623-157361268","chr5:157361337-157361467","5.89e-30","5.89e-30","0.0859","0.0859"
"94","DAPK1","1","ENSG00000196730","CE094","chr9:87499140-87604953","chr9:87506820-87506929","chr9:87499140-87506819","chr9:87506930-87510575;chr9:87506930-87537664;chr9:87506930-87604953","6.79e-50","6.79e-50, 6.79e-50","0.0269","0.0269, 0.0269"
"95","DAPK1","2","ENSG00000055163","CE095","chr9:87499140-87604953","chr9:87510576-87510684","chr9:87506930-87510575","chr9:87510685-87511218;chr9:87510685-87604953","6.79e-50","not calculated","0.0269","not calculated"
"96","DAPK1","3","ENSG00000055163","CE096","chr9:87499140-87604953","chr9:87511219-87511269","chr9:87506930-87511218;chr9:87510685-87511218","chr9:87511270-87537664","not calculated","not calculated","not calculated","not calculated"
"97","DAPK1","4","ENSG00000055163","CE097","chr9:87499140-87604953","chr9:87520011-87520092","chr9:87499140-87520010;chr9:87506930-87520010;chr9:87510685-87520010","chr9:87520093-87537664","not calculated","6.79e-50","not calculated","0.0269"
"98","DAPK1","5","ENSG00000196730","CE098","chr9:87499140-87604953","chr9:87537665-87537793","chr9:87499140-87537664;chr9:87520093-87537664","chr9:87537794-87604953","6.79e-50, 6.79e-50","6.79e-50","0.0269, 0.0269","0.0269"
"99","DDR1",NA,"ENSG00000204580","CE099","chr6:30884711-30888687","chr6:30885625-30885680","chr6:30884711-30885624","chr6:30885681-30888687","6.53e-14","6.53e-14","0.00113","0.00113"
"100","DENND2B",NA,"ENSG00000166444","CE100","chr11:8750726-8810516","chr11:8776192-8776402","chr11:8750726-8776191","chr11:8776403-8810516","4.84e-10","not calculated","not calculated","not calculated"
"101","DLG5",NA,"ENSG00000151208","CE101","chr10:77792544-77794007","chr10:77793165-77793235","chr10:77792544-77793164","chr10:77793236-77794007","1.81e-15","1.81e-15","0.0271","0.0271"
"102","DLGAP1",NA,"ENSG00000170579","CE102","chr18:4005202-4151179","chr18:4146750-4147667",NA,"chr18:4147668-4151179",NA,"4.91e-18",NA,"0.000274"
"103","DLGAP3","long","ENSG00000116544","CE103","chr1:34907438-34929450","chr1:34928988-34929450","chr1:34907438-34928987",NA,"not calculated",NA,"not calculated",NA
"104","DLGAP3","mid","ENSG00000116544","CE104","chr1:34907438-34929450","chr1:34929059-34929450","chr1:34907438-34929058",NA,"5.51e-12",NA,"0.0381",NA
"105","DLGAP3","short","ENSG00000116544","CE105","chr1:34907438-34929450","chr1:34929069-34929450","chr1:34907438-34929068",NA,"5.51e-12",NA,"0.0381",NA
"106","DNAAF9",NA,"ENSG00000088854","CE106","chr20:3343732-3348524","chr20:3344641-3344699","chr20:3343732-3344640","chr20:3344700-3348524","1.88e-19","1.88e-19","0.0017","0.0017"
"107","DNAJB6","long","ENSG00000105993","CE107","chr7:157367484-157382245","chr7:157381833-157381986","chr7:157367484-157381832","chr7:157381987-157382245","7.07e-33","7.07e-33","1.22e-18","1.22e-18"
"108","DNAJB6","short","ENSG00000105993","CE108","chr7:157367484-157382245","chr7:157381836-157381986","chr7:157367484-157381835","chr7:157381987-157382245","7.07e-33","7.07e-33","1.22e-18","1.22e-18"
"109","DNAJC12","1","ENSG00000108176","CE109","chr10:67823393-67837933","chr10:67830902-67831019","chr10:67823393-67830901","chr10:67831020-67835391","2.91e-43","2.91e-43","2.57e-33","2.57e-33"
"110","DNAJC12","2_long","ENSG00000108176","CE110","chr10:67823393-67837933","chr10:67835392-67835685","chr10:67823393-67835391","chr10:67835686-67837933","2.91e-43","2.91e-43","2.57e-33","2.57e-33"
"111","DNAJC12","2_short1","ENSG00000108176","CE111","chr10:67823393-67837933","chr10:67835392-67835525","chr10:67823393-67835391","chr10:67835526-67837933","2.91e-43","2.91e-43","2.57e-33","2.57e-33"
"112","DNAJC12","2_short2","ENSG00000108176","CE112","chr10:67823393-67837933","chr10:67835526-67835685","chr10:67831020-67835391","chr10:67835686-67837933","2.91e-43","2.91e-43","2.57e-33","2.57e-33"
"113","DNM1",NA,"ENSG00000106976","CE113","chr9:128250941-128254653","chr9:128253047-128253100","chr9:128250941-128253046",NA,"5.86e-34",NA,"5.37e-08",NA
"114","DOK5",NA,"ENSG00000101134","CE114","chr20:54591806-54610387","chr20:54594827-54594973","chr20:54591806-54594826","chr20:54594974-54610387","3.27e-12","3.27e-12","4.52e-08","4.52e-08"
"115","DST",NA,"ENSG00000151914","CE115","chr6:56482878-56485311","chr6:56484029-56484120","chr6:56482878-56484028","chr6:56484121-56485311","1.37e-07","1.37e-07","1.62e-07","1.62e-07"
"116","ELAPOR2",NA,"ENSG00000164659","CE116","chr7:86880531-86891723","chr7:86887931-86888050","chr7:86880531-86887930","chr7:86888051-86891723","5.6e-06","5.6e-06","0.00102","0.00102"
"117","ELAVL3",NA,"ENSG00000196361","CE117","chr19:11458612-11466171","chr19:11463496-11463662","chr19:11458612-11463495","chr19:11463663-11466171","7.35e-08","7.35e-08","7.69e-07","7.69e-07"
"118","EML6",NA,"ENSG00000214595","CE118","chr2:54928752-54948881","chr2:54947858-54948014","chr2:54928752-54947857","chr2:54948015-54948881","1.28e-06","1.28e-06","not calculated","not calculated"
"119","ENAH",NA,"ENSG00000154380","CE119","chr1:225567415-225652685","chr1:225590180-225590436","chr1:225567415-225590179","chr1:225590437-225652685","0.00453","not calculated","0.00155","not calculated"
"120","ENSG00000291130",NA,"ENSG00000291130","CE120","chr19:20409046-20417665","chr19:20409830-20409956","chr19:20409046-20409829","chr19:20409957-20417665","3.58e-16","not calculated","0.0451","not calculated"
"121","ENSG00000291207",NA,"ENSG00000291207","CE121","chr7:45729027-45736786","chr7:45735607-45735670","chr7:45729027-45735606","chr7:45735671-45736786","4.02e-07","4.02e-07","6.52e-05","6.52e-05"
"122","EPB41L4A","1","ENSG00000129595","CE122","chr5:112234756-112239659","chr5:112237537-112237596","chr5:112234756-112237536","chr5:112237597-112239659","6.95e-05","6.95e-05","4.21e-06","4.21e-06"
"123","EPB41L4A","2","ENSG00000129595","CE123","chr5:112266331-112275325","chr5:112267210-112267284","chr5:112266331-112267209","chr5:112267285-112275325","1.67e-22","1.67e-22","0.145","0.145"
"124","EPB41L4A","3","ENSG00000129595","CE124","chr5:112266331-112275325","chr5:112270684-112270792","chr5:112266331-112270683;chr5:112267284-112270683","chr5:112270793-112275325","not calculated","not calculated","not calculated","not calculated"
"125","EPG5",NA,"ENSG00000152223","CE125","chr18:45901168-45903972","chr18:45902018-45902155","chr18:45901168-45902017","chr18:45902156-45903972","0.0389","not calculated","not calculated","not calculated"
"126","ERC2",NA,"ENSG00000187672","CE126","chr3:56173521-56296018","chr3:56206233-56206362","chr3:56173521-56206232","chr3:56206363-56296018","5.2e-06","not calculated","0.285","not calculated"
"127","ERI3","1","ENSG00000117419","CE127","chr1:44221641-44247938","chr1:44225766-44226003","chr1:44221641-44225765","chr1:44226004-44247938","4.91e-13","4.91e-13","1.43e-18","1.43e-18"
"128","ERI3","2","ENSG00000117419","CE128","chr1:44221641-44247938","chr1:44241915-44242080","chr1:44221641-44241914","chr1:44242081-44247938","4.91e-13","4.91e-13","1.43e-18","1.43e-18"
"129","ESS2",NA,"ENSG00000100056","CE129","chr22:19142895-19144505","chr22:19144057-19144505","chr22:19142895-19144056",NA,"0.00526",NA,"0.307",NA
"130","ETNK1","long","ENSG00000139163","CE130","chr12:22661206-22671271","chr12:22668598-22668722","chr12:22661206-22668597","chr12:22668723-22671271","9.41e-05","9.41e-05","4.32e-06","4.32e-06"
"131","ETNK1","short","ENSG00000139163","CE131","chr12:22661206-22671271","chr12:22668598-22668700","chr12:22661206-22668597","chr12:22668701-22671271","9.41e-05","9.41e-05","4.32e-06","4.32e-06"
"132","ETS2",NA,"ENSG00000157557","CE132","chr21:38806121-38810034","chr21:38806445-38806808",NA,"chr21:38806809-38810034",NA,"2.43e-13",NA,"0.000123"
"133","ETV5",NA,"ENSG00000244405","CE133","chr3:186081176-186105304","chr3:186103669-186104572",NA,"chr3:186104573-186105304",NA,"2.88e-11",NA,"0.967"
"134","EXD3",NA,"ENSG00000187609","CE134","chr9:137356369-137366492","chr9:137365127-137366156","chr9:137356369-137365126","chr9:137366157-137366492","5.6e-12","5.6e-12","not calculated","not calculated"
"135","EXOG",NA,"ENSG00000157036","CE135","chr3:38506969-38523900","chr3:38513750-38513868","chr3:38506969-38513749","chr3:38513869-38523900","0.019","0.019","0.000114","0.000114"
"136","FAM114A2",NA,"ENSG00000055147","CE136","chr5:154034968-154038292","chr5:154037368-154037455","chr5:154034968-154037367","chr5:154037456-154038292","1.61e-19","1.61e-19","0.00304","0.00304"
"137","FAM66C",NA,"ENSG00000226711","CE137","chr12:8188646-8194202","chr12:8193520-8193655","chr12:8188646-8193519","chr12:8193656-8194202","8.86e-36","8.86e-36","0.564","0.564"
"138","FAM66D",NA,"ENSG00000255052","CE138","chr8:12122051-12145422","chr8:12144740-12144875","chr8:12122051-12144739","chr8:12144876-12145422","5.52e-06","5.52e-06","0.0187","0.0187"
"139","FAM81A",NA,"ENSG00000157470","CE139","chr15:59438283-59458549","chr15:59439024-59439064","chr15:59438283-59439023","chr15:59439065-59458549","1.99e-26","1.99e-26","0.029","0.029"
"140","FBN3","1","ENSG00000142449","CE140","chr19:8083373-8085362","chr19:8084235-8084411","chr19:8083373-8084234","chr19:8084412-8085362","4.56e-18","4.56e-18","not calculated","not calculated"
